185970,1291543
177608,308869
27711,1582311
967947,816867
42666,866698
959498,1767733
846318,896611
399959,1598051
26509,1342870
817247,1880453
404203,1066139
717225,600632
34082,1048977
235281,90690
362044,750721
281478,315751
58957,1466041
821388,1117033
96991,903776
992777,1618963
831474,1485573
890292,1774407
345681,1662855
493893,742217
122548,1289176
129026,1642673
117528,1269737
733263,926856
441335,754261
809536,110861
450092,897939
765143,1280838
394801,1826068
429767,224172
266383,1743546
217190,622992
122049,614486
178579,91555
575473,659123
372384,25463
294751,1636326
253605,304583
352754,328924
298896,720320
126650,1732111
256802,1269398
660284,230889
970356,593070
108678,1046774
460294,1782483
976733,1120887
165051,567474
718551,1166747
508566,1423839
563159,328373
326248,1804780
693294,326534
569267,47993
579458,336943
357428,1507411
359154,1751138
921578,842880
230690,248260
18274,500071
1999,932580
501326,760257
815231,1666527
664262,12871
221990,77995
441160,638381
76764,1709299
578543,671979
524119,331147
191374,741893
766184,716263
809059,1230105
141235,225764
188532,343549
581606,974227
337028,906432
139440,126892
185217,1172607
361406,1033694
969691,441394
515128,466830
410333,650034
622701,1117116
820963,118461
874089,1682832
29613,1839034
875357,896018
268929,52900
321338,765445
450970,1041441
306738,1142144
62248,857526
923429,679100
197984,1491199
103441,1237879
99497,912546
9328,1301213
239663,841963
789884,1013273
965195,1539130
780903,1088259
945686,988735
961341,1519296
991628,1563096
120152,62949
358429,707265
831598,1465770
7080,128497
399758,974479
757323,786634
843051,457045
972938,792843
994080,426611
423700,635893
371985,1124355
44486,777302
911770,1081235
766411,1022886
179841,646166
558883,1539934
696430,623981
732014,1797885
744467,1039337
912495,1972197
963800,495782
1739,1641864
70280,1010692
335236,1301658
994988,1197889
728244,37073
194583,570351
671670,15168
791089,350346
882791,5177
391244,893391
575766,1644785
324567,1033902
780278,789720
402032,1183613
593518,1202428
48132,34614
347250,690315
625873,696041
891703,854527
912409,181068
23638,1006659
966078,233905
549736,1166433
215099,1244056
414890,49147
505240,272556
494605,1211663
843724,1316422
523835,1977246
70923,1243468
564074,466948
859709,747556
617193,1478114
490821,1022261
490136,550719
120003,93686
917257,1200032
303113,1916749
768188,1494228
264507,1034767
375391,729285
6211,315895
889327,668564
83985,365177
340502,1371253
877575,1326258
626076,1308069
540520,205584
832064,1072950
643,662466
